Feature relevance for NT=1, F=2: ['health', 'finance']
Feature relevance for NT=1, F=4: ['health', 'children', 'has_nurs', 'housing']
Feature relevance for NT=1, F=Runif: ['health', 'social']
Feature relevance for NT=1, F=6: ['health', 'has_nurs', 'social', 'housing', 'finance', 'children']
Feature relevance for NT=10, F=2: ['health', 'form', 'has_nurs', 'social', 'housing', 'children', 'parents', 'finance']
Feature relevance for NT=10, F=4: ['parents', 'form', 'housing', 'finance', 'health', 'social', 'children', 'has_nurs']
Feature relevance for NT=10, F=Runif: ['has_nurs', 'housing', 'social', 'health', 'parents', 'form', 'children', 'finance']
Feature relevance for NT=10, F=6: ['has_nurs', 'parents', 'housing', 'social', 'children', 'form', 'health', 'finance']
Feature relevance for NT=25, F=2: ['housing', 'children', 'has_nurs', 'social', 'health', 'parents', 'finance', 'form']
Feature relevance for NT=25, F=4: ['health', 'has_nurs', 'housing', 'finance', 'parents', 'social', 'children', 'form']
Feature relevance for NT=25, F=Runif: ['health', 'social', 'has_nurs', 'parents', 'form', 'children', 'housing', 'finance']
Feature relevance for NT=25, F=6: ['health', 'social', 'has_nurs', 'form', 'housing', 'finance', 'parents', 'children']
Feature relevance for NT=50, F=2: ['finance', 'form', 'parents', 'health', 'social', 'children', 'has_nurs', 'housing']
Feature relevance for NT=50, F=4: ['health', 'has_nurs', 'children', 'form', 'social', 'housing', 'parents', 'finance']
Feature relevance for NT=50, F=Runif: ['health', 'social', 'finance', 'has_nurs', 'parents', 'housing', 'children', 'form']
Feature relevance for NT=50, F=6: ['health', 'has_nurs', 'social', 'parents', 'form', 'housing', 'finance', 'children']
Feature relevance for NT=75, F=2: ['housing', 'children', 'has_nurs', 'health', 'parents', 'finance', 'form', 'social']
Feature relevance for NT=75, F=4: ['health', 'housing', 'children', 'form', 'has_nurs', 'social', 'finance', 'parents']
Feature relevance for NT=75, F=Runif: ['finance', 'health', 'housing', 'has_nurs', 'parents', 'children', 'form', 'social']
Feature relevance for NT=75, F=6: ['health', 'has_nurs', 'social', 'form', 'children', 'housing', 'parents', 'finance']
Feature relevance for NT=100, F=2: ['children', 'form', 'social', 'parents', 'has_nurs', 'housing', 'finance', 'health']
Feature relevance for NT=100, F=4: ['health', 'has_nurs', 'parents', 'form', 'children', 'finance', 'social', 'housing']
Feature relevance for NT=100, F=Runif: ['has_nurs', 'form', 'social', 'finance', 'parents', 'housing', 'children', 'health']
Feature relevance for NT=100, F=6: ['has_nurs', 'parents', 'housing', 'finance', 'form', 'children', 'health', 'social']
