Feature relevance for NT=1, F=1: ['health', 'form', 'social', 'finance', 'parents', 'has_nurs', 'housing', 'children']
Feature relevance for NT=1, F=2: ['has_nurs', 'health', 'social', 'parents', 'form', 'finance', 'housing', 'children']
Feature relevance for NT=1, F=3: ['has_nurs', 'housing', 'finance', 'health', 'social', 'form', 'parents', 'children']
Feature relevance for NT=1, F=4: ['health', 'children', 'housing', 'form', 'social', 'parents', 'finance', 'has_nurs']
Feature relevance for NT=10, F=1: ['parents', 'has_nurs', 'health', 'social', 'children', 'housing', 'finance', 'form']
Feature relevance for NT=10, F=2: ['housing', 'parents', 'form', 'has_nurs', 'children', 'health', 'finance', 'social']
Feature relevance for NT=10, F=3: ['health', 'social', 'has_nurs', 'parents', 'form', 'housing', 'children', 'finance']
Feature relevance for NT=10, F=4: ['has_nurs', 'health', 'form', 'social', 'finance', 'housing', 'children', 'parents']
Feature relevance for NT=25, F=1: ['finance', 'social', 'has_nurs', 'form', 'children', 'health', 'housing', 'parents']
Feature relevance for NT=25, F=2: ['has_nurs', 'health', 'parents', 'housing', 'children', 'form', 'finance', 'social']
Feature relevance for NT=25, F=3: ['housing', 'health', 'social', 'parents', 'finance', 'children', 'has_nurs', 'form']
Feature relevance for NT=25, F=4: ['has_nurs', 'health', 'parents', 'finance', 'form', 'housing', 'children', 'social']
Feature relevance for NT=50, F=1: ['has_nurs', 'housing', 'social', 'parents', 'health', 'children', 'finance', 'form']
Feature relevance for NT=50, F=2: ['has_nurs', 'form', 'parents', 'children', 'housing', 'social', 'health', 'finance']
Feature relevance for NT=50, F=3: ['health', 'has_nurs', 'children', 'finance', 'parents', 'housing', 'form', 'social']
Feature relevance for NT=50, F=4: ['has_nurs', 'health', 'children', 'form', 'social', 'parents', 'housing', 'finance']
Feature relevance for NT=75, F=1: ['parents', 'finance', 'has_nurs', 'health', 'form', 'children', 'social', 'housing']
Feature relevance for NT=75, F=2: ['health', 'form', 'children', 'parents', 'has_nurs', 'housing', 'social', 'finance']
Feature relevance for NT=75, F=3: ['health', 'finance', 'social', 'housing', 'has_nurs', 'form', 'parents', 'children']
Feature relevance for NT=75, F=4: ['health', 'form', 'has_nurs', 'finance', 'social', 'children', 'parents', 'housing']
Feature relevance for NT=100, F=1: ['health', 'has_nurs', 'social', 'finance', 'form', 'housing', 'children', 'parents']
Feature relevance for NT=100, F=2: ['housing', 'finance', 'parents', 'has_nurs', 'health', 'form', 'children', 'social']
Feature relevance for NT=100, F=3: ['health', 'form', 'finance', 'parents', 'has_nurs', 'children', 'housing', 'social']
Feature relevance for NT=100, F=4: ['health', 'social', 'children', 'form', 'housing', 'parents', 'has_nurs', 'finance']
